名侦探柯南：迷宫的十字路口, 动画 | 冒险 | 悬疑 ,2024-12-27 14:00中国大陆上映
小小的我, 青春 | 家庭 | 剧情 ,2024-12-27 13:00中国大陆上映
张杰曜北斗巡回演唱会（舞台纪录电影）, 纪录片 | 音乐 ,2024-12-20中国大陆上映
